id,zona,turno,dias,orden,punto_salida,punto_llegada,hora_salida,hora_llegada,campaneo,observaciones
1,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",1,"AV TUPAC AMARU, ESPINAR, JR. CANAS, JR.CALCA, LOCAL ALATRISTA, AV HUAYRUROPATA, AV. LOS INCAS, CLINICA MAC SALUD, SAN JOSE, ICPNA RESIDENCIAL, CLINICA CAMILA","Av. PEDRO VILCA APAZA",04:10,06:00,0,"RECOJO DE RRSS DE VIA PUBLICA (bloque completo)"
2,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",2,"Av. PEDRO VILCA APAZA","C.H PACHACUTEQ",06:00,06:20,1,"CAMPANEO"
3,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",3,"C.H PACHACUTEQ","PLAZA TUPAC AMARU",06:20,06:40,1,"CAMPANEO"
4,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",4,"PLAZA TUPAC AMARU","AV. TOMASA TTITO CONDEMAYTA",06:40,07:10,1,"CAMPANEO"
5,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",5,"AV. TOMASA TTITO CONDEMAYTA","AV. DIAGONAL ANGAMOS",07:10,07:40,1,"CAMPANEO"
6,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",6,"AV. DIAGONAL ANGAMOS","AV. MICAELA BASTIDAS",07:40,08:10,1,"CAMPANEO"
7,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",7,"AV. MICAELA BASTIDAS","AV. LA CULTURA",08:10,08:40,1,"CAMPANEO"
8,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",8,"AV. LA CULTURA","CONDOMINIO INGENIEROS",08:40,09:30,1,"CAMPANEO"
9,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",9,"CONDOMINIO INGENIEROS","CEVICHERIA DE HUAYROROPATA",09:30,09:50,1,"CAMPANEO"
10,ZONA 01,MAÑANA,"LUNES,MIERCOLES,VIERNES",10,"CEVICHERIA DE HUAYROROPATA","REPECHAJE AV. HUAYRUROPATA",09:50,10:00,0,"REPECHAJE"
11,ZONA 01,MAÑANA,"MARTES,JUEVES,SABADO",1,"AV. TULLUMAYO, ARCUPUNCO, AV. CULTURA (HASTA DIAGONAL)","AV. VELASCO ASTETE",04:10,06:00,0,"RECOJO DE RRSS DE VIA PUBLICA (bloque completo)"
12,ZONA 01,MAÑANA,"MARTES,JUEVES,SABADO",2,"AV. VELASCO ASTETE","URB. CAPAC YUPANQUI",06:00,06:30,1,"CAMPANEO"
13,ZONA 01,MAÑANA,"MARTES,JUEVES,SABADO",3,"URB. CAPAC YUPANQUI","CCHH. HILARIO MENDIVIL",06:30,06:40,1,"CAMPANEO"
